names,members,birth_name,birth_place,birth_date,gender,category,spotify track artist audio.artist_name,spotify track artist audio.artist_id
Groove Armada,"* [[Andy Cato]]
* Tom Findlay",,"London, England",,,,Groove Armada,67tgMwUfnmqzYsNAtnP6YJ
Zero 7,"* Henry Binns
* Sam Hardaker",,"London, England",,,,Zero 7,14H7ag1wpQOsPPQJOD6Dqr
Moloko,,,"[[Sheffield]], [[England]], United Kingdom",,,,Moloko,4aaBjq7VqqQvpSF69GglvO
Tori Amos,,Myra Ellen Amos {{r|Smyers (2014)}},"[[Newton, North Carolina]], U.S.",{{birth date and age |1963|8|22 |mf|=|yes}} {{r|Sullivan (2015)}},female,American_female_singer-songwriters,Tori Amos,1KsASRNugxU85T0u6zSg32
The Hooters,"{{Plainlist|
* [[Eric Bazilian]]
* [[Rob Hyman]]
* [[David Uosikkinen]]
* [[John Lilley]]
* [[Fran Smith Jr.]]
* Tommy Williams}}",,"[[Philadelphia]], Pennsylvania, United States",,,,The Hooters,7uhvDINTTiD0XBrP9fquN1
Raphael Saadiq,,Charles Ray Wiggins,"[[Oakland, California]], U.S.",{{Birth date and age|1966|5|14}},male,African-American_male_singers,Raphael Saadiq,6g0Wah2YFtb1rFgKhUktlo
D'Angelo,,Michael Eugene Archer,"[[Richmond, Virginia]], U.S.",{{Birth date and age|1974|2|11}},male,American_male_guitarists,D'Angelo,336vr2M3Va0FjyvB55lJEd
Amos Lee,,Ryan Anthony Massaro,"[[Philadelphia]], Pennsylvania, U.S.",{{Birth date and age|mf|=|yes|1977|06|20}},male,American_male_guitarists,Amos Lee,0QrowybipCKUDnq5y10PD2
Molly Johnson,,Margaret Leslie Johnson,"[[Toronto]], Ontario, Canada",{{birth year and age|1959}},female,Canadian_female_pop_singers,Molly Johnson,0OhbmRARz9nrChla8W2OGU
CocoRosie,"Sierra Rose Casady, Bianca Leilani Casady, Gaël Alfred Rakotondrabé (former)",,{{hlist|United States}} {{where|date|=|June 2021}},,,,CocoRosie,05fo024EFotg9songSENOZ
Crooked Still,[[Aoife O'Donovan]]<br />[[Corey DiMario]]<br />[[Gregory Liszt]]<br />[[Tristan Clarridge]]<br />[[Brittany Haas]],,"[[Boston]], Massachusetts",,,,Crooked Still,7LOJ56d8VmOebynlV01KfU
Elizabeth Fraser,,Elizabeth Davidson Fraser,"[[Grangemouth]], Scotland",{{birth date and age|df|=|yes|1963|08|29}},female,Female_rock_singers,Elizabeth Fraser,791Z3924aa619hZ3xsOJEx
Fila Brazillia,[[Steve Cobby]]<br />David McSherry,,"[[Kingston upon Hull|Hull]], England",,,,Fila Brazillia,2wss0kNi7zdZTrxnCFxSQW
The Golden Filter,[[Penelope Trappes]]<br>Stephen Hindman,,"[[New York City]], [[New York (state)|New York]], U.S.",,,,The Golden Filter,6ys6r2ftzNbWUTSlqlkPO2
Grace Jones,,Grace Beverly Jones,"[[Spanish Town]], [[St. Catherine, Jamaica|St. Catherine]], Jamaica",{{Birth date and age|1948|5|19|df|=|y}},,,Grace Jones,2f9ZiYA2ic1r1voObUimdd
Gustavo Santaolalla,,,"[[Ciudad Jardín Lomas del Palomar]], Argentina",{{birth date and age|1951|08|19|df|=|yes}},,,Gustavo Santaolalla,4W3fa7tiXGVXl3KilbACqt
Hellsongs,My Engström Renman<br/>Kalle Karlsson,,Sweden,,,,Hellsongs,4q6vUp7EZD4jAcBqjxfgYk
I Monster,"* Dean Honer
* Jarrod Gosling",,"[[Sheffield]], [[England]]",,,,I Monster,1CcPlAmcnJjC4FnaPVzv2v
Kid Loco,,Jean-Yves Prieur,"[[Antony, Hauts-de-Seine]]<br/> France",{{birth date and age|1964|06|19|df|=|y}},,,Kid Loco,1ViF5mdcW7pEn7md71YjOL
Lemon Jelly,Fred Deakin<br/>[[Nick Franglen]],,"[[London]], England",,,,Lemon Jelly,5uh8Bhewltd8j0TLZjNImc
Noir Désir,,,"[[Bordeaux]], [[Nouvelle-Aquitaine|Aquitaine]], [[Occitania]], [[France]]",,,,Noir Désir,4ksCwAPgMi8rkQwwR3nMos
Kings of Convenience,[[Erlend Øye]]<br /> [[Eirik Glambek Bøe]],,"[[Bergen]], [[Norway]]",,,,Kings of Convenience,41AbNVba2ccpmcc9QtOJE7
Ane Brun,,Ane Kvien Brunvoll,"[[Molde]], Norway",{{birth date and age|1976|03|10|df|=|y}},,,Ane Brun,2L3kwZFd16zjHz9a5kEPAm
Gregory Alan Isakov,,,"[[Philadelphia, Pennsylvania]], U.S.",{{Birth date and age|1979|10|19}},,,Gregory Alan Isakov,5sXaGoRLSpd7VeyZrLkKwt
Graffiti6,[[Jamie Scott]]<br /> [[TommyD]],,"[[London, England]], United Kingdom",,,,Graffiti6,45q5PZHs50HeLBDRgio4GQ
Lucy Spraggan,,Lucy Honour Ruby Spraggan,"[[Buxton]], England",{{Birth date and age|df|=|yes|1991|7|21}},female,English_female_singers,Lucy Spraggan,3QLPy7F0m9XgChp2Lk9B3N
Rhye,[[Milosh]] <br />,,"[[Toronto]], Canada",,,,Rhye,2AcUPzkVWo81vumdzeLLRN
Erykah Badu,,Erica Abi Wright,"[[Dallas]], [[Texas]], U.S.",{{Birth date and age|mf|=|yes|1971|2|26}},female,African-American_female_singer-songwriters,Erykah Badu,7IfculRW2WXyzNQ8djX8WX
Alex Gopher,,Alexis Latrobe,"[[Versailles (city)|Versailles]], [[France]]",,,,Alex Gopher,0ADS8B9CUYtbFLvjT99Ktw
The Be Good Tanyas,"* [[Frazey Ford]]
* Samantha Parton
* Trish Klein",,"Vancouver, Canada",,,,The Be Good Tanyas,37PywjKNsxHji5F9eFODF2
Beth Orton,,Elizabeth Caroline Orton,"[[Norwich]], England",{{birth date and age|df|=|yes|1970|12|14}},female,English_female_pop_singers,Beth Orton,6cLEWhEKQl6nAvgr60M7zC
Black Box Recorder,[[Luke Haines]]<br />[[John Moore (British musician)|John Moore]]<br />[[Sarah Nixey]],,"[[London]], England",,,,Black Box Recorder,6Hd3xhv1sj3rlojjvGLkGR
Slackwax,Bernd Batke <br /> Peter Hoppe,,"[[Nuremberg]], [[Germany]]",,,,Slackwax,1LfcJTOmVKxmvsdk1P00D1
Jonathan Jeremiah,,,"[[London]], England",,male,British_male_singers,Jonathan Jeremiah,2TdWlAJcUHu32O3Yld3rsU
Supreme Beings of Leisure,{{unbulleted list|Geri Soriano-Lightwood|Ramin Sakurai|Rick Torres}},,"Los Angeles, California, United States",,,,Supreme Beings of Leisure,1fMiEUAUshtCFawy3aD0oD
Clara Hill,,,"[[Berlin]], Germany",,,,Clara Hill,4RHulYLsymySn2JlGzyXfc
James Yuill,,James Yuill,"[[London]], UK",{{Birth date and age|df|=|yes|1981|07|20}},,,James Yuill,0jypmaLN034G9UkeQdqsps
Etta James,,Jamesetta Hawkins,"[[Los Angeles, California]], U.S.",{{birth date|1938|01|25}},female,African-American_female_singers,Etta James,0iOVhN3tnSvgDbcg25JoJb
Solomon Burke,,James Solomon McDonald,"[[Philadelphia]], [[Pennsylvania]], U.S.",{{Birth date|1936|3|21}} or <br /> {{Birth date|1940|3|21}},male,African-American_male_singers,Solomon Burke,4nts0oxMT67lVUoi5Kjxrb
Maria Mena,,Maria Viktoria Mena,"[[Lørenskog]], Norway",{{Birth date and age|1986|02|19|df|=|y}},,,Maria Mena,3rTRHzFfbTk5GL3LpYZGHR
Tom Wilcox,,,[[List of people born at sea|Born at sea]],1879,,,Tom Wilcox,0EEdG7g3DnhyKGGGvB2W70
Ben's Brother,,,"[[London]], England",,,,Ben's Brother,0kYJFAUJlmcDMnmS5ChTpw
Eliza Doolittle,,,,,female,English_female_pop_singers,Eliza Doolittle,14L5rpGTLVUz1pD8fUeJB1
Iron Maiden,"* [[Steve Harris (musician)|Steve Harris]]
* [[Dave Murray (musician)|Dave Murray]]
* [[Adrian Smith]]
* [[Bruce Dickinson]]
* [[Nicko McBrain]]
* [[Janick Gers]]",,"London, England",,,,Iron Maiden,6mdiAmATAx73kdxrNrnlao
Jerry Paper,,Lucas Nathan,"[[Los Angeles]], California, U.S.",{{birth date and age|1990|8|7}},,,Jerry Paper,2gzxBoK71ohENPlxlshHV7
Joaquín Sabina,,Joaquín Ramón Martínez Sabina,,{{birth date and age|1949|2|12|df|=|y}},,,Joaquín Sabina,4aeIWo5CMF1uRmqgJdwkZW
John Lennon,,John Winston Lennon,"[[Liverpool]], England",{{Birth date|1940|10|9|df|=|yes}},male,English_male_singer-songwriters,John Lennon,4x1nvY2FN8jxqAFA0DA02H
Joy Zipper,Vincent Cafiso<br>Tabitha Tindale,,"[[New York City|New York]], [[New York (state)|New York]], [[United States]]",,,,Joy Zipper,0MMY27gk33Lxyk0FwcJldc
Juanes,,Juan Esteban Aristizábal Vásquez,"[[Carolina del Príncipe]], [[Colombia]]",{{birth date and age|mf|=|yes|1972|8|9}},,,Juanes,0UWZUmn7sybxMCqrw9tGa7
Kadavar,"Christoph ""Lupus"" Lindemann<br />Christoph ""Tiger"" Bartelt<br />Simon ""Dragon"" Bouteloup",,"Berlin, Germany",,,,Kadavar,0FfuujZJUa7Z2JzhhiPI2z
Kakkmaddafakka,[[Axel Vindenes]]<br/>[[Pål Vindenes]]<br/>Stian Sævig<br/>Kristoffer Wie van der Pas<br/>Sebastian Kittelsen,,"[[Bergen]], Norway",,,,Kakkmaddafakka,4HV7yKF3SRpY6I0gxu7hm9
Killing Joke,[[Jaz Coleman]]<br />[[Paul Ferguson]]<br />[[Geordie Walker]]<br />[[Youth (musician)|Youth]],,"[[Notting Hill]], London, England",,,,Killing Joke,0Zy4ncr8h1jd7Nzr9946fD
Kim Wilde,,Kim Smith,"[[Chiswick]], [[Middlesex]], England",{{Birth date and age|1960|11|18|df|=|yes}},female,English_female_pop_singers,Kim Wilde,73a6pNH4YtLNgDbPQwXveo
King Crimson,"{{Plainlist|
* [[Robert Fripp]]
* [[Mel Collins]]
* [[Tony Levin]]
* [[Pat Mastelotto]]
* [[Gavin Harrison]]
* [[Jakko Jakszyk]]
* [[Jeremy Stacey]]}}",,"London, England",,,,King Crimson,7M1FPw29m5FbicYzS2xdpi
King Diamond,,Kim Bendix Petersen,"[[Copenhagen]], Denmark",{{birth date and age|df|=|yes|1956|6|14}},,,King Diamond,5i0ph60TnwTlIGrOZAmcZa
The Knack,,,"[[Los Angeles]], [[California]], U.S.",,,,The Knack,0Nn9YwJzcaeuU1jJL06e3r
Kreator,"[[Mille Petrozza|Miland ""Mille"" Petrozza]]<br/>[[Jürgen Reil|Jürgen ""Ventor"" Reil]]<br/>[[Sami Yli-Sirniö]]<br/>[[Frédéric Leclercq]]",,"[[Essen, Germany|Essen]], [[North Rhine-Westphalia]], Germany",,,,Kreator,3BM0EaYmkKWuPmmHFUTQHv
La Polla Records,,,"[[Salvatierra/Agurain|Salvatierra]], [[Basque Country (autonomous community)|Basque Country]], [[Spain]]",,,,La Polla Records,3vHlZN6pTa2zOl2eVxiEdJ
Laura Branigan,,Laura Ann Branigan,"[[Mount Kisco]], [[Westchester County, New York]], U.S.",{{birth date|1952|07|03}},female,American_female_pop_singers,Laura Branigan,4463nfFMmK1cwAWBQDwT5e
The Libertines,"* [[Carl Barât]]
* [[Pete Doherty]]
* [[John Hassall (musician)|John Hassall]]
* [[Gary Powell (musician)|Gary Powell]]",,"London, England",,,,The Libertines,4fSPtBgFPZzygkY6MehwQ7
Little Barrie,Lewis Wharton<br />Barrie Cadogan<br />,,"[[Nottingham]], England",,,,Little Barrie,5ozUXaDjc4mfVyDIWCJH4E
The Main Drag,Matt Boch<br/>Dan Cardinal<br/>Jon Carter<br/>John Drake,,"[[Boston]], [[Massachusetts]], [[United States|U.S.]]",,,,The Main Drag,4NVO7CCcOSMoawltzMSPBc
Manowar,[[Joey DeMaio]]<br />[[Eric Adams (musician)|Eric Adams]]<br />[[Anders Johansson (drummer)|Anders Johansson]]<br />E.V. Martel,,"[[Auburn, New York]], U.S.",,,,Manowar,4CzUzn54Cp9TQr6a7JIlMZ
Darkthrone,"* [[Fenriz]]
* [[Nocturno Culto]]",,"[[Kolbotn]], [[Akershus]], Norway",,,,Darkthrone,7kWnE981vITXDnAD2cZmCV
The Datsuns,{{bulleted list|Dolf de Borst|Christian Livingstone|Phil Somervell|Ben Cole}},,"[[Cambridge, New Zealand]]",,,,The Datsuns,2P6KPAphDMASmfHjnxSMmR
David J,,David John Haskins,"[[Northampton]], [[Northamptonshire]], England",{{birth date and age|df|=|yes|1957|04|24}},,,David J,2EftfRcBC3whzGDBGOwIVG
The Dead Weather,"*[[Alison Mosshart]]
*[[Dean Fertita]]
*[[Jack Lawrence (musician)|Jack Lawrence]]
*[[Jack White]]",,"[[Nashville]], Tennessee, U.S.",,,,The Dead Weather,4AZab8zo2nTYd7ORDmQu0V
Deap Vally,Lindsey Troy<br />Julie Edwards,,"[[Los Angeles]], California, United States",,,,Deap Vally,1NsvfeRzexfHjhUGqWrULl
Death Angel,Rob Cavestany<br/>Mark Osegueda<br/>Ted Aguilar<br/>Will Carroll<br/>Damien Sisson,,"[[San Francisco Bay Area]], [[California]], U.S.",,,,Death Angel,6KVc8Llznru8n9LVCYe9dz
Death of the Cool,,,,,,,Death of the Cool,34DwDQ83w4Xb9zHplTcCyZ
Deep Purple,"*[[Ian Paice]]
*[[Roger Glover]]
*[[Ian Gillan]]
*[[Don Airey]]
*[[Simon McBride]]",,"[[London]], England",,,,Deep Purple,568ZhdwyaiCyOGJRtNYhWf
DevilDriver,"* [[Dez Fafara]]
* [[Mike Spreitzer]]
* Austin D'Amond
* Jon Miller
* Alex Lee",,"[[Santa Barbara, California]], U.S.",,,,DevilDriver,79el7mcHYhXYW3Zek21i0L
Dimmu Borgir,[[Shagrath]]<br />[[Silenoz]]<br />[[Galder]]<br />[[Daray]]<br />[[Geir Bratland|Gerlioz]]<br />Victor Brandt,,"[[Jessheim]], Norway",,,,Dimmu Borgir,6e8ISIsI7UQZPyEorefAhK
Dizzy Mizz Lizzy,[[Tim Christensen]]<br />[[Martin Nielsen (bassist)|Martin Nielsen]]<br />[[Søren Friis (drummer)|Søren Friis]],,"[[Copenhagen]], [[Denmark]]",,,,Dizzy Mizz Lizzy,71fY009eJ8QSpSNGDSkSuK
DragonForce,"* [[Herman Li]]
* [[Sam Totman]]
* Marc Hudson
* Gee Anzalone
* Alicia Vigil",,"[[London]], England",,,,DragonForce,2pH3wEn4eYlMMIIQyKPbVR
Duane Eddy,,,"[[Corning (city), New York|Corning, New York]], U.S.",{{Birth date and age|1938|04|26|mf|=|y}},male,American_male_guitarists,Duane Eddy,1I5Cu7bqjkRg85idwYsD91
The Dubliners,,,"[[Dublin]], Ireland",,,,The Dubliners,72RvmgEg2omdlMV9aExO6a
Duck Sauce,"* [[Armand van Helden]]
* [[A-Trak]]",,"[[New York City]], [[New York (state)|New York]], United States",,,,Duck Sauce,0q8J3Yj810t5cpAYEJ7gxt
Eddie Meduza,,Errol Leonard Norstedt,"[[Örgryte]], [[Göteborg]], [[Sweden]]",{{birth date|df|=|y|1948|6|17}},,,Eddie Meduza,3cMEiDsx9VpGvF71hUGswS
Evile,[[Ol Drake]]<br />Ben Carter<br />[[Joel Graham (musician)|Joel Graham]]<br />Adam Smith,,"[[Huddersfield]], England, UK",,,,Evile,1dwrMJAKBiLlj0O4R791Xo
Faith No More,"* [[Mike Bordin]]
* [[Roddy Bottum]]
* [[Billy Gould]]
* [[Mike Patton]]
* Jon Hudson",,"[[San Francisco]], California, U.S.",,,,Faith No More,6GbCJZrI318Ybm8mY36Of5
AC/DC,"* [[Angus Young]]
* [[Phil Rudd]]
* [[Cliff Williams]]
* [[Brian Johnson]]
* [[Stevie Young]]",,"[[Sydney]], [[New South Wales]], Australia",,,,AC/DC,711MCceyCBcFnzjGY4Q7Un
AC/DC,"* [[Angus Young]]
* [[Phil Rudd]]
* [[Cliff Williams]]
* [[Brian Johnson]]
* [[Stevie Young]]",,"[[Sydney]], [[New South Wales]], Australia",,,,AC/DC,6K7kTFlUf5pcbzMnt1g0y6
The Adicts,"Keith ""Monkey"" Warren (vocals)<br>Pete ""Pete Dee"" Davison (guitar)<br>Michael ""Kid Dee"" Davison (drums)<br> Kiki Kabel (bass since 2017)
<br>Highko Strom (guitar since 2017)",,"[[Ipswich]], [[Suffolk]], England",,,,The Adicts,5f5B8Zd0xuvmcDin3oK76F
Agalloch,,,"[[Portland, Oregon]], U.S.",,,,Agalloch,3Meu28o8P5z9Zjm6NTGihT
The Alan Parsons Project,,,"[[London]], England",,,,The Alan Parsons Project,2m62cc253Xvd9qYQ8d2X3d
Amon Amarth,Olavi Mikkonen<br/>Johan Hegg<br/>Ted Lundström<br/>Johan Söderberg<br/>Jocke Wallgren,,"[[Tumba, Sweden]]",,,,Amon Amarth,3pulcT2wt7FEG10lQlqDJL
Animal Alpha,,,[[Norway]],,,,Animal Alpha,2D33pq4ECo3gsLbRt3eeo6
The Animals,'''Eric Burdon and the Animals''': <br>[[Eric Burdon]]<br>Johnzo West<br>Davey Allen<br>Dustin Koester<br>Justin Andres<br>Ruben Salinas<br>Evan Mackey<br>'''Animals and Friends''':<br>[[John Steel (drummer)|John Steel]]<br>Roberto Ruiz<br>Danny Handley<br>Barney Williams,,"[[Newcastle upon Tyne]], England",,,,The Animals,3ICflSq6ZgYAIrm2CTkfVP
Arch Enemy,"*[[Michael Amott]]
*[[Daniel Erlandsson]]
*[[Sharlee D'Angelo]]
*[[Alissa White-Gluz]]
*[[Jeff Loomis]]",,"[[Halmstad]], Sweden",,,,Arch Enemy,0DCw6lHkzh9t7f8Hb4Z0Sx
As Blood Runs Black,"*Hector ""Lech"" de Santiago<br>Nick Stewart<br>Greg Kirkpatrick<br>Christopher Bartholomew",,"[[Los Angeles, California]], U.S.",,,,As Blood Runs Black,4LjQpQc5NB5G02zqfEIex7
Atreyu,"* Dan Jacobs
* [[Brandon Saller]]
* Travis Miguel
* Marc McKnight
* Kyle Rosa",,"[[Yorba Linda, California]], U.S.",,,,Atreyu,3LkSiHbjqOHCKCqBfEZOTv
Bakar,,,,,,,Bakar,3K2Srho6NCF3o9MswGR76H
Baltimora,,,"[[Milan]], Italy",,,,Baltimora,6czfQ8MjHVmvJKA4LAnviG
Barry Manilow,,Barry Alan Pincus,"[[New York City]], [[New York (state)|New York]], [[United States|U.S.]]",{{Birth date and age|mf|=|yes|1943|6|17}},male,American_crooners,Barry Manilow,3alW3LYQS8K29z8C8NSLIX
Batushka,Krzysztof Drabikowski,,"[[Białystok]], Poland",,,,Batushka,15LsRgSmN0t8VLcsUFYW5J
Beastie Boys,,,"New York City, U.S.",,,,Beastie Boys,03r4iKL2g2442PT9n2UKsx
Beatsteaks,Arnim Teutoburg-Weiß<br />Bernd Kurtzke<br />Peter Baumann<br />Thomas Götz<br />Torsten Scholz,,"[[Berlin]], Germany",,,,Beatsteaks,79qRD2IfSr3pmuYUficMWX
Big Black Delta,Jonathan Bates,,"[[Los Angeles]], [[California]], U.S.",,,,Big Black Delta,2TXpVEw5FbzDh93tLoDm0i
Bikini Kill,"{{plainlist|
* [[Kathleen Hanna]]
* [[Kathi Wilcox]]
* [[Tobi Vail]]}}",,"[[Olympia, Washington]], U.S.",,,,Bikini Kill,0gvHPdYxlU94W7V5MSIlFe
Black Debbath,[[Egil Hegerberg]]<br />Lars Lønning<br />[[Aslag Guttormsgaard]]<br />[[Ole Petter Andreassen]],,"[[Oslo]], Norway",,,,Black Debbath,3x63vETIzcWrlzDerW3Tbl
Black Kids,"{{ubl
                    | Reggie Youngblood
                    | Dawn Watley
                    | Kevin Snow
                    | Ali Youngblood}}",,"[[Jacksonville, Florida]]",,,,Black Kids,1oJolWh3meHLWUcyIijst7
Blitzkid,[[Argyle Goolsby]]<br />TB Monstrosity<br /> Benny Austin,,"[[Bluefield, West Virginia]], U.S.",,,,Blitzkid,1u8qqOF2w0kgbg1QLXEXSJ
Blood Red Shoes,Laura-Mary Carter<br/>Steven Ansell,,"[[Brighton]], [[England]]",,,,Blood Red Shoes,3r6Sk3pYxdJk7MekhBGgMR
Bloodhound Gang,,,"[[Collegeville, Pennsylvania]], U.S.",,,,Bloodhound Gang,6nDLku5uL3ou60kvCGZorh
Burzum,[[Varg Vikernes]],,"[[Bergen]], Norway",,,,Burzum,7L6u6TyhjuwubrcojPeNgf
Buzzcocks,[[Steve Diggle]]<br />Chris Remington<br />[[Danny Farrant]]<br />Mani Perazzoli,,"[[Bolton]], [[Greater Manchester]], England",,,,Buzzcocks,2DxlS3lTLFIq70S7ap5H3y
Caifanes,[[Saúl Hernández]]<br>[[:es:Alfonso André|Alfonso André]]<br>[[:es:Diego Herrera (músico)|Diego Herrera]],,"[[Mexico City]], [[Mexico]]",,,,Caifanes,1GImnM7WYVp95431ypofy9
Cannibal Corpse,"* [[Alex Webster]]
* [[Paul Mazurkiewicz]]
* [[Rob Barrett]]
* [[George Fisher (musician)|George Fisher]]
* [[Erik Rutan]]",,"[[Buffalo, New York]], U.S.",,,,Cannibal Corpse,0yLwGBQiBqhXOvmTfH2A7n
Cavalera Conspiracy,"* [[Max Cavalera]]
* [[Igor Cavalera]]",,"[[Phoenix, Arizona]], U.S.",,,,Cavalera Conspiracy,7F1K4WlMshx23V2TTz4KwV
Carpenter Brut,,Franck Hueso,"[[Poitiers]], France {{fact|date|=|February 2020}}",,,,Carpenter Brut,1l2oLiukA9i5jEtIyNWIEP
The Chemical Brothers,"* Tom Rowlands
* Ed Simons",,"[[Manchester]], England",,,,The Chemical Brothers,1GhPHrq36VKCY3ucVaZCfo
The Cinematics,,,"[[Glasgow]], [[Scotland]], UK",,,,The Cinematics,7M6zxq59QM0CMvvYprtzOZ
Combichrist,[[Andy LaPlegua]] <br /> Dane White <br /> Jamie Cronander<br /> [[Eric13]]<br /> Elliott Berlin,,"[[Atlanta, Georgia]], U.S.",,,,Combichrist,5556RAgwP70PnXbaUTGNbR
The Cribs,[[Gary Jarman]]<br />[[Ryan Jarman]]<br />[[Ross Jarman]],,"[[Wakefield]], England",,,,The Cribs,51Eq6WMVEOjjx9KQMAnneG
Crystal Castles,,,"[[Toronto]], Ontario, Canada",,,,Crystal Castles,7K3zpFXBvPcvzhj7zlGJdO
Curumin,,Luciano Nakata Albuquerque,"[[São Paulo]], [[Brazil]]",{{Birth date and age|1976|7|28}},,,Curumin,1W1k6LUPDR0l4zwvKR4YLI
Wonder Girls,,,"[[Seoul]], [[South Korea]]",,,,Wonder Girls,3Cv2vi3WTl8VZOTdrBkKdM
Chase Atlantic,"* Mitchel Cave
* Clinton Cave
* Christian Anthony",,"[[Cairns, Australia]]",,,,Chase Atlantic,7cYEt1pqMgXJdq00hAwVpT
Dean Koontz,,Dean Ray Koontz,"[[Everett, Pennsylvania]], United States",{{Birth date and age|1945|7|9}},,,Dean Koontz,09BRKXJbHGk3fYfrbYj7AL
Epik High,"* [[Tablo]]
* [[Mithra Jin]]
* DJ Tukutz",,"[[Seoul]], South Korea",,,,Epik High,5snNHNlYT2UrtZo5HCJkiw
NCT 127,"{{plainlist|
* [[Moon Tae-il|Taeil]]
* Johnny
* [[Lee Tae-yong|Taeyong]]
* [[Yuta Nakamoto|Yuta]]
* [[Doyoung (singer)|Doyoung]]
* [[Jaehyun (singer)|Jaehyun]]
* Winwin
* Jungwoo
* [[Mark Lee (singer)|Mark]]
* Haechan}}",,"[[Seoul]], South Korea",,,,NCT 127,7f4ignuCJhLXfZ9giKT7rH
Ateez,"* Park Seong-hwa
* Kim Hong-joong 
* Jeong Yun-ho
* Kang Yeo-sang
* Choi San
* Song Min-gi
* Jung Woo-young
* Choi Jong-ho",,"[[Seoul]], South Korea",,,,Ateez,68KmkJeZGfwe1OUaivBa2L
4Minute,,,"[[Seoul]], South Korea",,,,4Minute,6cdC1cwqh3eJAXaxXJt2jv
EXID,{{unbulleted list|[[Heo Sol-ji|Solji]]|[[LE (rapper)|LE]]|[[Hani (singer)|Hani]]|[[Seo Hye-lin|Hyelin]]|[[Park Jeong-hwa|Jeonghwa]]}},,"[[Seoul]], South Korea",,,,EXID,1xs6WFotNQSXweo0GXrS0O
Stray Kids,"*Bang Chan
*Lee Know
*Changbin
*Hyunjin
*Han
*Felix
*Seungmin
*I.N",,"[[Seoul]], [[South Korea]]",,,,Stray Kids,2dIgFjalVxs4ThymZ67YCE
Agust D,,,,,,,Agust D,5RmQ8k4l3HZ8JoPb4mNsML
Flipp Dinero,,Christopher Saint Victor,"[[Canarsie, Brooklyn]], [[New York (state)|New York]], U.S.",{{birth date and age|1995|11|16}},,,Flipp Dinero,2HUwZ0kumzCSlhFcjFZfpp
Tee Grizzley,,Terry Sanchez Wallace Jr.,"[[Detroit]], [[Michigan]], U.S. {{Infobox person 
| child |=| yes
| education |=| [[Michigan State University]] (no degree)}}",{{birth date and age|1994|03|23}},male,African-American_male_rappers,Tee Grizzley,6AUl0ykLLpvTktob97x9hO
Joyner Lucas,,Gary Maurice Lucas,"[[Worcester, Massachusetts]], U.S.",{{birth date and age|1988|08|17}},,,Joyner Lucas,6C1ohJrd5VydigQtaGy5Wa
Aminé,,Adam Aminé Daniel,"[[Woodlawn, Portland, Oregon]], US",{{birth date and age|mf|=|yes|1994|4|18}},male,African-American_male_rappers,Aminé,3Gm5F95VdRxW3mqCn8RPBJ
Smokepurpp,,Omar Jeffery Pineiro,"[[Miami]], [[Florida]], U.S.",{{Birth date and age|1997|5|15}},,,Smokepurpp,21dooacK2WGBB5amYvKyfM
The Orb,[[Alex Paterson]]<br />Michael Rendall,,"[[London]], England",,,,The Orb,5HAtRoEPUvGSA7ziTGB1cF
Kraftwerk,{{unbulleted list|[[Ralf Hütter]] | [[Fritz Hilpert]] | Henning Schmitz | [[Falk Grieffenhagen]]}},,"[[Düsseldorf]], West Germany",,,,Kraftwerk,0dmPX6ovclgOy8WWJaFEUU
Dream Theater,"* [[John Myung]] 
* [[John Petrucci]]
* [[James LaBrie]]
* [[Jordan Rudess]]
* [[Mike Mangini]]",,"[[Boston]], [[Massachusetts]], {{nowrap|United States}}",,,,Dream Theater,2aaLAng2L2aWD2FClzwiep
Robbie Williams,,Robert Peter Conway,"[[Stoke-on-Trent]], England",{{Birth date and age|df|=|yes|1974|2|13}},male,English_male_singers,Robbie Williams,2HcwFjNelS49kFbfvMxQYw
Opeth,"* [[Mikael Åkerfeldt]]
* [[Martín Méndez]]
* [[Fredrik Åkesson]]
* [[Joakim Svalberg]]",,"[[Stockholm]], Sweden",,,,Opeth,0ybFZ2Ab08V8hueghSXm6E
Iron Butterfly,Eric Barnett<br />[[Martin Gerschwitz]]<br />[[Dave Meros]]<br />Bernie Pershey<br />,,"[[San Diego|San Diego, California]], U.S.",,,,Iron Butterfly,3cdvlbCYf4WoBdy89RWkNS
Grand Funk Railroad,[[Don Brewer]]<br />[[Mel Schacher]]<br />[[Max Carl]]<br />[[Tim Cashion]]<br />[[Bruce Kulick]],,"[[Flint, Michigan]], U.S.",,,,Grand Funk Railroad,0qEcf3SFlpRcb3lK3f2GZI
"Emerson, Lake & Palmer",,,"[[Croydon]], London",,,,"Emerson, Lake & Palmer",0nCiidE5GgDrc5kWN3NZgZ
Mike Oldfield,,Michael Gordon Oldfield,"[[Reading, Berkshire]], England",{{birth date and age|1953|5|15|df|=|yes}},male,English_male_composers,Mike Oldfield,562Od3CffWedyz2BbeYWVn
Keith Emerson,,Keith Noel Emerson,"[[Todmorden]], [[West Riding of Yorkshire]], England",{{Birth date|df|=|yes|1944|11|02}},,,Keith Emerson,5MwQBuYuEnf6hLsupDJ0Um
Soft Machine,[[John Stanley Marshall|John Marshall]]<br />[[Roy Babbington]]<br />[[John Etheridge]]<br />[[Theo Travis]],,"[[Canterbury]], England",,,,Soft Machine,5A0MH7JfEBEMySevsmauds
